accession;species;genus;color
M73218;Paslahepevirus balayani;Paslahepevirus;#e11d2f
KX578717;Paslahepevirus balayani;Paslahepevirus;#e11d2f
AB602441;Paslahepevirus balayani;Paslahepevirus;#e11d2f
AB573435;Paslahepevirus balayani;Paslahepevirus;#e11d2f
AB197673;Paslahepevirus balayani;Paslahepevirus;#e11d2f
KJ496143;Paslahepevirus balayani;Paslahepevirus;#e11d2f
AF082843;Paslahepevirus balayani;Paslahepevirus;#e11d2f
KX387866;Paslahepevirus balayani;Paslahepevirus;#e11d2f
KF951328;Paslahepevirus alci;Paslahepevirus;#d946ef
KR905549;;;#e5e7eb
KM516906;Rocahepevirus ratti;Rocahepevirus;#1d4ed8
JN167538;Rocahepevirus ratti;Rocahepevirus;#1d4ed8
AB847307;Rocahepevirus ratti;Rocahepevirus;#1d4ed8
JX120573;Rocahepevirus ratti;Rocahepevirus;#1d4ed8
LC549186;Rocahepevirus ratti;Rocahepevirus;#1d4ed8
LC057247;Rocahepevirus ratti;Rocahepevirus;#1d4ed8
AB890374;Rocahepevirus ratti;Rocahepevirus;#1d4ed8
KY432900;;Rocahepevirus;#e5e7eb
KY432903;;Rocahepevirus;#e5e7eb
MG021328;;Rocahepevirus;#e5e7eb
KY432901;Rocahepevirus eothenomi;Rocahepevirus;#7dd3fc
KY432904;Rocahepevirus eothenomi;Rocahepevirus;#7dd3fc
KY432905;Rocahepevirus eothenomi;Rocahepevirus;#7dd3fc
KY432902;Rocahepevirus eothenomi;Rocahepevirus;#7dd3fc
KU670940;Rocahepevirus eothenomi;Rocahepevirus;#7dd3fc
MK192405;Rocahepevirus eothenomi;Rocahepevirus;#7dd3fc
KY432899;;Rocahepevirus;#e5e7eb
KX513953;Chirohepevirus eptesici;Chirohepevirus;#22c55e
JQ001749;Chirohepevirus eptesici;Chirohepevirus;#22c55e
MW249011;Chirohepevirus desmodi;Chirohepevirus;#86efac
KJ562187;Chirohepevirus rhinolophi;Chirohepevirus;#166534
KX589065;Avihepevirus egretti;Avihepevirus;#f97316
MG737712;Avihepevirus magniiecur;Avihepevirus;#eab308
AY535004;Avihepevirus magniiecur;Avihepevirus;#eab308
JN597006;Avihepevirus magniiecur;Avihepevirus;#eab308
MK050107;Avihepevirus magniiecur;Avihepevirus;#eab308
AM943646;Avihepevirus magniiecur;Avihepevirus;#eab308
